"Table 080-0020 Retail trade, sales by the North American Industry Classification System (NAICS), monthly (dollars x 1,000)(2,3,4,5,6)"
Survey or program details:
Retail Trade Survey (Monthly) - 2406
Monthly Retail Trade Survey (Department Store Organizations) - 2408
Geography,Canada,Canada
North American Industry Classification System (NAICS),Retail trade [44-45] ,Retail trade [44-45] 
Adjustments,Unadjusted,Seasonally adjusted
Jan-1991,12588862,15026890
Feb-1991,12154321,15304585
Mar-1991,14337072,15413591
Apr-1991,15108570,15293409
May-1991,17225734,15676083
Jun-1991,16342833,15507931
Jul-1991,15996243,15556313
Aug-1991,16064910,15430645
Sep-1991,15015317,15427313
Oct-1991,15606864,15410250
Nov-1991,16237366,15662790
Dec-1991,18381340,15349625
Jan-1992,13084963,15477875
Feb-1992,12773972,15513022
Mar-1992,14198775,15527933
Apr-1992,15558390,15708556
May-1992,16776396,15642000
Jun-1992,16716231,15823989
Jul-1992,16637483,15869453
Aug-1992,15842075,15844631
Sep-1992,15812400,15983239
Oct-1992,16562268,16125835
Nov-1992,16015869,16049478
Dec-1992,19682921,16095727
Jan-1993,13672727,16408864
Feb-1993,12900733,16239039
Mar-1993,15211859,16314960
Apr-1993,16642246,16577426
May-1993,17442405,16472045
Jun-1993,17444074,16351907
Jul-1993,17610326,16712914
Aug-1993,16645660,16703413
Sep-1993,16790330,16755338
Oct-1993,16921755,16819382
Nov-1993,17124609,16958202
Dec-1993,20928208,17021436
Jan-1994,14005058,17076164
Feb-1994,13799079,17393150
Mar-1994,16865149,17890903
Apr-1994,17494589,17507688
May-1994,18739509,17775079
Jun-1994,19323481,17882069
Jul-1994,18297834,17785800
Aug-1994,18101290,17881976
Sep-1994,18161417,17952647
Oct-1994,17998875,18193703
Nov-1994,18516766,18264676
Dec-1994,22688647,18387840
Jan-1995,14927996,18337565
Feb-1995,14520623,18259470
Mar-1995,17457477,18225708
Apr-1995,17774107,18217661
May-1995,19740889,18333051
Jun-1995,20319460,18503481
Jul-1995,18747299,18407254
Aug-1995,19280525,18720783
Sep-1995,18860566,18628735
Oct-1995,18177152,18412692
Nov-1995,18962903,18506305
Dec-1995,22308880,18525162
Jan-1996,15379086,18531426
Feb-1996,15521981,18657652
Mar-1996,17613469,18774049
Apr-1996,18421405,18739023
May-1996,20624568,18758009
Jun-1996,20099348,18977805
Jul-1996,19423284,18914063
Aug-1996,19889359,19071178
Sep-1996,18589571,19019991
Oct-1996,19686383,19488074
Nov-1996,20293165,19820074
Dec-1996,22897980,19688254
Jan-1997,16882321,19857365
Feb-1997,16033605,20141489
Mar-1997,18225453,20056949
Apr-1997,20432272,20215340
May-1997,22594727,20386953
Jun-1997,21577744,20466883
Jul-1997,21570145,20681230
Aug-1997,21065784,20605349
Sep-1997,20532806,20646564
Oct-1997,21491163,21037021
Nov-1997,20904746,20973561
Dec-1997,25507180,21749250
Jan-1998,17736224,20776214
Feb-1998,16797018,21153779
Mar-1998,19408883,21041225
Apr-1998,21501677,21504619
May-1998,23312947,21504262
Jun-1998,22654803,21247311
Jul-1998,22594775,21385620
Aug-1998,21512734,21335980
Sep-1998,21645562,21660645
Oct-1998,21994089,21565457
Nov-1998,21461344,21714061
Dec-1998,25874332,21605209
Jan-1999,18438151,22074043
Feb-1999,17658952,22286260
Mar-1999,21082603,22402680
Apr-1999,22587382,22389229
May-1999,23892100,22300484
Jun-1999,24036828,22450487
Jul-1999,23994614,22614164
Aug-1999,22926469,22806183
Sep-1999,22984278,22817165
Oct-1999,22813633,22967565
Nov-1999,22972959,23036527
Dec-1999,28143999,23387176
Jan-2000,19324692,23434451
Feb-2000,19140440,23378327
Mar-2000,22918829,23813646
Apr-2000,22914155,23537859
May-2000,25659687,23644020
Jun-2000,25945400,23841011
Jul-2000,24821347,24204193
Aug-2000,25102965,24266358
Sep-2000,24710257,24495699
Oct-2000,23687124,24330740
Nov-2000,24556357,24373656
Dec-2000,29057176,24518477
Jan-2001,20607642,24640517
Feb-2001,19444855,24477976
Mar-2001,23652255,24583988
Apr-2001,24370700,24944482
May-2001,27585889,25143416
Jun-2001,27243919,25190078
Jul-2001,25507932,24813831
Aug-2001,26322941,25017925
Sep-2001,24263969,24703734
Oct-2001,24917747,25149772
Nov-2001,26048646,25657476
Dec-2001,30481412,26124705
Jan-2002,22361219,26496729
Feb-2002,20787209,26105990
Mar-2002,24642692,26072633
Apr-2002,26405170,26657565
May-2002,29087583,26165998
Jun-2002,28363263,26768924
Jul-2002,27912328,26620588
Aug-2002,28202300,26767279
Sep-2002,26054411,26620259
Oct-2002,27131743,27061844
Nov-2002,27276942,27015215
Dec-2002,31300554,27172388
Jan-2003,23301871,27137545
Feb-2003,21980804,27622538
Mar-2003,25468203,27275170
Apr-2003,27059495,27176306
May-2003,30417563,27484615
Jun-2003,28912102,27569750
Jul-2003,29492832,27707861
Aug-2003,29102135,28020755
Sep-2003,27467571,27841344
Oct-2003,28223631,27825024
Nov-2003,27391422,27777531
Dec-2003,32325789,27704978
Jan-2004,23778728,27935993
Feb-2004,23008594,28719948
Mar-2004,26967793,28689514
Apr-2004,28592026,28254086
May-2004,30479247,28554094
Jun-2004,30711705,28550528
Jul-2004,30898334,28616168
Aug-2004,29535183,28836665
Sep-2004,29245397,29243662
Oct-2004,29445711,29561177
Nov-2004,29232659,29901036
Dec-2004,34561103,29593609
Jan-2005,24498615,29888781
Feb-2005,24028226,30460620
Mar-2005,28600602,30006264
Apr-2005,30600811,29940271
May-2005,31948565,29935878
Jun-2005,32967426,30590992
Jul-2005,32620077,30800241
Aug-2005,32025283,30647393
Sep-2005,30914826,30600008
Oct-2005,30241532,30887481
Nov-2005,30828069,31012789
Dec-2005,36726743,31230056
Jan-2006,25993203,31747679
Feb-2006,25128165,31744450
Mar-2006,30760061,31871717
Apr-2006,32106585,32354405
May-2006,34894460,32048264
Jun-2006,35049112,32242363
Jul-2006,34341547,33040218
Aug-2006,35045180,33007575
Sep-2006,33056559,32492838
Oct-2006,31830349,32595465
Nov-2006,32663281,32814138
Dec-2006,38605976,33515367
Jan-2007,27777968,33221023
Feb-2007,26548520,33466188
Mar-2007,32818504,33910296
Apr-2007,33621240,34385868
May-2007,38434319,34789277
Jun-2007,37555708,34436278
Jul-2007,35635889,34430726
Aug-2007,36978090,34725483
Sep-2007,34057842,34341226
Oct-2007,34070363,34305870
Nov-2007,35091406,34958995
Dec-2007,40006665,35625285
Jan-2008,30525699,35933156
Feb-2008,29418898,35526909
Mar-2008,32925876,35530142
Apr-2008,36272111,35914167
May-2008,39778972,36006888
Jun-2008,37842321,36400129
Jul-2008,38632038,36403867
Aug-2008,37775417,36137537
Sep-2008,36138751,36390521
Oct-2008,36158245,35747571
Nov-2008,34230901,34661690
Dec-2008,38256712,33303365
Jan-2009,29192654,33747849
Feb-2009,26804723,33869426
Mar-2009,31356949,33894022
Apr-2009,33942769,33930673
May-2009,37316515,34345160
Jun-2009,36865690,34735113
Jul-2009,37191480,34755444
Aug-2009,36049418,35039739
Sep-2009,35537357,35239195
Oct-2009,36133694,35330869
Nov-2009,34354756,35250896
Dec-2009,40969765,35577384
Jan-2010,30668321,36080033
Feb-2010,28632551,36051781
Mar-2010,34967182,37001843
Apr-2010,36469949,36148495
May-2010,38424455,36041318
Jun-2010,38973462,36350588
Jul-2010,38932294,36295314
Aug-2010,37395330,36515170
Sep-2010,36923390,36632898
Oct-2010,37014326,36879707
Nov-2010,37408825,37568029
Dec-2010,43147947,37392857
Jan-2011,31191594,37392259
Feb-2011,29797949,37437926
Mar-2011,36099866,37617167
Apr-2011,38035760,37755408
May-2011,40046516,37723958
Jun-2011,40839556,38228307
Jul-2011,39832282,37925826
Aug-2011,39541248,37976798
Sep-2011,38877263,38181654
Oct-2011,38203872,38623692
Nov-2011,39174736,38779553
Dec-2011,45089701,39087795
Jan-2012,32361808,39102435
Feb-2012,32087072,38968001
Mar-2012,37933733,39201228
Apr-2012,37775805,38920526
May-2012,42584571,38841267
Jun-2012,41789242,38773515
Jul-2012,40130908,38854126
Aug-2012,41321526,38854279
Sep-2012,39069513,39058649
Oct-2012,39487597,39277317
Nov-2012,40095933,39224805
Dec-2012,43489091,39050651
Jan-2013,33574671,39523536
Feb-2013,31636843,39710038
Mar-2013,37561378,39811962
Apr-2013,39401295,39655045
May-2013,44577490,40295930
Jun-2013,42169145,39992542
Jul-2013,42417829,40388278
Aug-2013,43237460,40660890
Sep-2013,40170270,40631164
Oct-2013,41560987,40813306
Nov-2013,41893714,40798569
Dec-2013,44796794,40716614
Jan-2014,34980327,40976155
Feb-2014,32905708,41256280
Mar-2014,38460091,41242344
Apr-2014,41809373,41852467
May-2014,46379543,41906455
Jun-2014,44178750,42457216
Jul-2014,45285331,42562972
Aug-2014,44359733,42456214
Sep-2014,43017529,42685882
Oct-2014,43775478,42690228
Nov-2014,42968326,42603501
Dec-2014,46887481,42317955
Jan-2015,34820395,40971992
Feb-2015,33174923,41801906
Mar-2015,39444291,42420253
Apr-2015,42297319,42331926
May-2015,46670930,42721761
Jun-2015,45584849,42989280
Jul-2015,46295664,43154020
Aug-2015,44793347,43309509
Sep-2015,43999627,43303889
Oct-2015,44507776,43378904
Nov-2015,43696305,43921767
Dec-2015,48097829,43078048
Jan-2016,36415115,43977584
Feb-2016,35649450,44205540
Mar-2016,41403762,43839996
Apr-2016,44881587,44181416
May-2016,47337082,44176591
Jun-2016,47399117,44162244
Jul-2016,46321314,44110862
Aug-2016,46201453,44216280
Sep-2016,45528702,44534797
Oct-2016,44770113,45061618
Nov-2016,46285062,45141762
Dec-2016,50016137,44943929
Jan-2017,37628452,45952103
Footnotes:
2,The total for retail trade excludes North American Industry Classification System (NAICS) 454.
3,"This CANSIM table replaces archived table 80-0014, 80-0015 and 80-0017."
4,"Quality indicator: Code A=Excellent. Code B=Very good. Code C=Good. Code D=Acceptable. Code E=Poor, use with caution. Code F=Unreliable (data not published)."
5,"Data for Northwest Territories includes Nunavut, from 1991-01 to 1998-12."
6,"In April 2013, data from 2004 onwards will be based on the 2012 North American Industry Classification System (NAICS). Data prior to 2004 will continue to be based on the 2007 North American Industry Classification System (NAICS)."
Source:
"Statistics Canada. Table 080-0020 - Retail trade, sales by the North American Industry Classification System (NAICS), monthly (dollars)"
"(accessed: April 19, 2017)"
